立法委員,影片編號,影片日期,影片標題,觀看網址,影片資訊
丁守中,79649,"2015-01-19 11:27:33",立法院第8屆第6會期經濟委員會第19次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79649/1M,8/2748/201501/20150119_112733.json
丁守中,79564,"2015-01-14 10:41:08",立法院第8屆第6會期經濟、司法及法制兩委員會第1次聯席會議,http://ivod.ly.gov.tw/Play/VOD/79564/1M,8/2748/201501/20150114_104108.json
丁守中,79491,"2015-01-12 09:36:01",立法院第8屆第6會期經濟、財政兩委員會第1次聯席會議,http://ivod.ly.gov.tw/Play/VOD/79491/1M,8/2748/201501/20150112_093601.json
丁守中,79331,"2015-01-07 10:33:02",立法院第8屆第6會期經濟委員會第18次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79331/1M,8/2748/201501/20150107_103302.json
孔文吉,79590,"2015-01-15 09:36:18",立法院第8屆第6會期教育及文化委員會第22次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79590/1M,8/2749/201501/20150115_093618.json
孔文吉,79532,"2015-01-12 16:34:43",立法院第8屆第6會期內政委員會第34次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79532/1M,8/2749/201501/20150112_163443.json
孔文吉,79474,"2015-01-12 09:20:55",立法院第8屆第6會期司法及法制、教育及文化委員會第1次聯席會議,http://ivod.ly.gov.tw/Play/VOD/79474/1M,8/2749/201501/20150112_092055.json
孔文吉,79462,"2015-01-09 09:25:32",第8屆第6會期第17次會議,http://ivod.ly.gov.tw/Play/VOD/79462/1M,8/2749/201501/20150109_092532.json
孔文吉,79317,"2015-01-07 09:46:56",立法院第8屆第6會期教育及文化委員會第21次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79317/1M,8/2749/201501/20150107_094656.json
尤美女,79753,"2015-01-23 22:04:53",第8屆第6會期第19次會議,http://ivod.ly.gov.tw/Play/VOD/79753/1M,8/2739/201501/20150123_220453.json
尤美女,79751,"2015-01-23 19:20:54",第8屆第6會期第19次會議,http://ivod.ly.gov.tw/Play/VOD/79751/1M,8/2739/201501/20150123_192054.json
尤美女,79750,"2015-01-23 19:06:59",第8屆第6會期第19次會議,http://ivod.ly.gov.tw/Play/VOD/79750/1M,8/2739/201501/20150123_190659.json
尤美女,79748,"2015-01-23 17:51:37",第8屆第6會期第19次會議,http://ivod.ly.gov.tw/Play/VOD/79748/1M,8/2739/201501/20150123_175137.json
尤美女,79745,"2015-01-23 16:08:29",第8屆第6會期第19次會議,http://ivod.ly.gov.tw/Play/VOD/79745/1M,8/2739/201501/20150123_160829.json
尤美女,79738,"2015-01-22 17:06:06",第8屆第6會期第19次會議,http://ivod.ly.gov.tw/Play/VOD/79738/1M,8/2739/201501/20150122_170606.json
尤美女,79646,"2015-01-19 12:13:47",立法院第8屆第6會期內政、司法及法制委員會第4次聯席會議,http://ivod.ly.gov.tw/Play/VOD/79646/1M,8/2739/201501/20150119_121347.json
尤美女,79579,"2015-01-14 14:35:58",立法院第8屆第6會期內政、司法及法制委員會第2次聯席會議,http://ivod.ly.gov.tw/Play/VOD/79579/1M,8/2739/201501/20150114_143558.json
尤美女,79565,"2015-01-14 10:41:45",立法院第8屆第6會期司法及法制委員會第26次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79565/1M,8/2739/201501/20150114_104145.json
尤美女,79497,"2015-01-12 10:46:09",立法院第8屆第6會期司法及法制、教育及文化委員會第1次聯席會議,http://ivod.ly.gov.tw/Play/VOD/79497/1M,8/2739/201501/20150112_104609.json
尤美女,79278,"2015-01-05 10:16:17",立法院第8屆第6會期司法及法制委員會第24次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79278/1M,8/2739/201501/20150105_101617.json
尤美女,79280,"2015-01-05 09:09:03",立法院第8屆第6會期司法及法制委員會第24次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79280/1M,8/2739/201501/20150105_090903.json
王廷升,79658,"2015-01-19 13:32:42",立法院第8屆第6會期經濟委員會第19次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79658/1M,8/2732/201501/20150119_133242.json
王廷升,79623,"2015-01-16 09:18:28",第8屆第6會期第18次會議,http://ivod.ly.gov.tw/Play/VOD/79623/1M,8/2732/201501/20150116_091828.json
王育敏,79754,"2015-01-23 22:07:23",第8屆第6會期第19次會議,http://ivod.ly.gov.tw/Play/VOD/79754/1M,8/2755/201501/20150123_220723.json
王育敏,79746,"2015-01-23 17:11:50",第8屆第6會期第19次會議,http://ivod.ly.gov.tw/Play/VOD/79746/1M,8/2755/201501/20150123_171150.json
王育敏,79744,"2015-01-23 16:06:14",第8屆第6會期第19次會議,http://ivod.ly.gov.tw/Play/VOD/79744/1M,8/2755/201501/20150123_160614.json
王育敏,79741,"2015-01-23 14:18:06",第8屆第6會期第19次會議,http://ivod.ly.gov.tw/Play/VOD/79741/1M,8/2755/201501/20150123_141806.json
王育敏,79681,"2015-01-20 17:17:00",第8屆第6會期第18次會議,http://ivod.ly.gov.tw/Play/VOD/79681/1M,8/2755/201501/20150120_171700.json
王育敏,79544,"2015-01-13 17:09:52",第8屆第6會期第17次會議,http://ivod.ly.gov.tw/Play/VOD/79544/1M,8/2755/201501/20150113_170952.json
王育敏,79453,"2015-01-08 16:47:36",立法院第8屆第6會期社會福利及衛生環境委員會第30次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79453/1M,8/2755/201501/20150108_164736.json
王育敏,79340,"2015-01-07 10:24:23",立法院第8屆第6會期社會福利及衛生環境委員會第29次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79340/1M,8/2755/201501/20150107_102423.json
王惠美,79722,"2015-01-21 11:30:51",立法院第8屆第6會期經濟委員會第19次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79722/1M,8/2738/201501/20150121_113051.json
王惠美,79648,"2015-01-19 11:13:54",立法院第8屆第6會期經濟委員會第19次全體委員會議,http://ivod.ly.gov.tw/Play/VOD/79648/1M,8/2738/201501/20150119_111354.json
王惠美,79622,"2015-01-16 09:15:23",第8屆第6會期第18次會議,http://ivod.ly.gov.tw/Play/VOD/79622/1M,8/2738/201501/20150116_091523.json
王惠美,79519,"2015-01-12 12:15:23",立法院第8屆第6會期經濟、財政兩委員會第1次聯席會議,http://ivod.ly.gov.tw/Play/VOD/79519/1M,8/2738/201501/20150112_121523.json
